aten_id,aten_id2,evalue,saccver,method,kegg,has_signal,pfam,Entry,Status,Protein names,Gene names,Organism,Length,Organism ID,EC number,Gene ontology IDs,Cross-reference (KEGG),Cross-reference (GeneID),Ensembl transcript,Cross-reference (eggNOG),Cross-reference (KO),Cross-reference (OrthoDB),Cross-reference (BioCyc),Cross-reference (BRENDA),Cross-reference (Reactome),ipr_go
aten_0.1.m1.12269.m1,aten_0.1.m1.12269,3.06E-24,TM205_DANRE,blastp,NA,NA,PF13664.5;PF10251.8;PF11143.7;PF11241.7,A1L2F6,reviewed,Transmembrane protein 205,tmem205 zgc:158860,Danio rerio (Zebrafish) (Brachydanio rerio),188,7955,NA,GO:0016021,dre:791204;,791204;,ENSDART00000162853;ENSDART00000162932;ENSDART00000168229;,KOG2886;ENOG4111HFX;,NA,1173611at2759;,NA,NA,NA,
aten_0.1.m1.1348.m1,aten_0.1.m1.1348,1.18E-40,GAPR1_HUMAN,blastp,NA,NA,PF00188.25;PF17383.1,Q9H4G4,reviewed,Golgi-associated plant pathogenesis-related protein 1 (GAPR-1) (Golgi-associated PR-1 protein) (Glioma pathogenesis-related protein 2) (GliPR 2),GLIPR2 C9orf19 GAPR1,Homo sapiens (Human),154,9606,NA,GO:0000139; GO:0005615; GO:0010634; GO:0010718; GO:0042803; GO:0070062; GO:0070374,hsa:152007;,152007;,ENST00000377960;,KOG3017;COG2340;,NA,1528782at2759;,NA,NA,NA,GO:0005576
aten_0.1.m1.1867.m1,aten_0.1.m1.1867,6.95E-18,SUP9_CAEEL,blastp,NA,YES,PF07885.15;PF00520.30;PF01595.19,O17185,reviewed,Two pore potassium channel protein sup-9 (Suppressor of unc-93 protein 9) (n2P38),sup-9 F34D6.3,Caenorhabditis elegans,329,6239,NA,GO:0005267; GO:0005887; GO:0006813; GO:0006937; GO:0022841; GO:0030322; GO:0036195; GO:0055120; GO:0071805,cel:CELE_F34D6.3;,173613;,NA,KOG4404;ENOG410XRZJ;,K04919;,1109218at2759;,NA,NA,R-CEL-1299316;R-CEL-5576886;,GO:0005267;GO:0016020;GO:0071805
aten_0.1.m1.32970.m1,aten_0.1.m1.32970,0,PSME4_HUMAN,blastp,K06699,NA,PF16507.4;PF11919.7;PF02985.21,Q14997,reviewed,Proteasome activator complex subunit 4 (Proteasome activator PA200),PSME4 KIAA0077,Homo sapiens (Human),1843,9606,NA,GO:0000165; GO:0000209; GO:0002223; GO:0002479; GO:0005634; GO:0005654; GO:0005829; GO:0006281; GO:0006521; GO:0006974; GO:0007275; GO:0010499; GO:0010972; GO:0016504; GO:0016579; GO:0016607; GO:0031145; GO:0031146; GO:0033209; GO:0035093; GO:0038061; GO:0038095; GO:0043161; GO:0043488; GO:0043687; GO:0050852; GO:0055085; GO:0060071; GO:0061418; GO:0070498; GO:0070577; GO:0070628; GO:0090090; GO:0090263; GO:1901990; GO:1902036; GO:1990111,hsa:23198;,23198;,ENST00000404125 [Q14997-1];,KOG1851;ENOG410XP7J;,K06699;,83617at2759;,NA,NA,R-HSA-1169091;R-HSA-1234176;R-HSA-1236974;R-HSA-1236978;R-HSA-174113;R-HSA-174154;R-HSA-174178;R-HSA-174184;R-HSA-180534;R-HSA-180585;R-HSA-195253;R-HSA-202424;R-HSA-211733;R-HSA-2467813;R-HSA-2871837;R-HSA-349425;R-HSA-350562;R-HSA-382556;R-HSA-450408;R-HSA-4608870;R-HSA-4641257;R-HSA-4641258;R-HSA-5358346;R-HSA-5362768;R-HSA-5607761;R-HSA-5607764;R-HSA-5610780;R-HSA-5610783;R-HSA-5610785;R-HSA-5632684;R-HSA-5658442;R-HSA-5668541;R-HSA-5676590;R-HSA-5678895;R-HSA-5687128;R-HSA-5689603;R-HSA-5689880;R-HSA-68827;R-HSA-68949;R-HSA-69017;R-HSA-69481;R-HSA-69601;R-HSA-75815;R-HSA-8852276;R-HSA-8854050;R-HSA-8939236;R-HSA-8939902;R-HSA-8948751;R-HSA-8951664;R-HSA-9010553;R-HSA-9020702;R-HSA-983168;,GO:0016504;GO:0070577;GO:0070628
aten_0.1.m1.23510.m1,aten_0.1.m1.23510,3.52E-68,GABR2_HUMAN,blastp,NA,NA,PF00003.21;PF01094.27;PF00115.19;PF01476.19;PF11210.7,O75899,reviewed,Gamma-aminobutyric acid type B receptor subunit 2 (GABA-B receptor 2) (GABA-B-R2) (GABA-BR2) (GABABR2) (Gb2) (G-protein coupled receptor 51) (HG20),GABBR2 GPR51 GPRC3B,Homo sapiens (Human),941,9606,NA,GO:0004965; GO:0005737; GO:0005886; GO:0005887; GO:0007186; GO:0007194; GO:0007214; GO:0007268; GO:0030054; GO:0038039; GO:0043005; GO:0045211; GO:0046982; GO:0150099; GO:1902710,hsa:9568;,9568;,ENST00000259455;,KOG1055;ENOG410XNN1;,K04615;,590810at2759;,NA,NA,R-HSA-1296041;R-HSA-418594;R-HSA-420499;R-HSA-977444;R-HSA-997272;,GO:0004965;GO:0007186;GO:0016021;GO:0004930
aten_0.1.m1.6803.m1,aten_0.1.m1.6803,6.04E-59,TM175_CHICK,blastp,NA,NA,PF06736.10;PF05661.11;PF17364.1,Q5ZKY0,reviewed,Endosomal/lysosomal potassium channel TMEM175 (Transmembrane protein 175),TMEM175 RCJMB04_8l18,Gallus gallus (Chicken),501,9031,NA,GO:0005267; GO:0005764; GO:0005765; GO:0005768; GO:0010008; GO:0016021; GO:0022841; GO:0035751; GO:0071805; GO:0090385,gga:427293;,427293;,ENSGALT00000024799;,ENOG410IIWE;ENOG410ZP3B;,NA,894975at2759;,NA,NA,NA,GO:0005267
aten_0.1.m1.3765.m1,aten_0.1.m1.3765,3.06E-36,P52K_HUMAN,blastp,NA,NA,PF05699.13,O43422,reviewed,52 kDa repressor of the inhibitor of the protein kinase (p52rIPK) (58 kDa interferon-induced protein kinase-interacting protein) (p58IPK-interacting protein) (Death-associated protein 4) (THAP domain-containing protein 0) (THAP domain-containing protein 12),THAP12 DAP4 P52RIPK PRKRIR THAP0,Homo sapiens (Human),761,9606,NA,GO:0000981; GO:0003677; GO:0005634; GO:0007165; GO:0008285; GO:0046872; GO:0046983,hsa:5612;,5612;,ENST00000260045 [O43422-1];,ENOG410IHFF;ENOG4110ZMY;,NA,537563at2759;,NA,NA,NA,GO:0046983
aten_0.1.m1.14240.m1,aten_0.1.m1.14240,1.63E-101,1433B_HORVU,blastp,K06630,NA,PF00244.19;PF13424.5;PF12083.7;PF07774.12;PF13012.5;PF05769.10;PF15828.4,Q43470,reviewed,14-3-3-like protein B (14-3-3B),NA,Hordeum vulgare (Barley),262,4513,NA,GO:0019904,NA,NA,NA,KOG0841;COG5040;,NA,NA,NA,NA,NA,GO:0019904
aten_0.1.m1.23140.m1,aten_0.1.m1.23140,5.71E-33,RECQ_ECOLI,blastp,NA,NA,PF00271.30;PF00270.28;PF04851.14,P15043,reviewed,ATP-dependent DNA helicase RecQ (EC 3.6.4.12),recQ b3822 JW5855,Escherichia coli (strain K12),609,83333,3.6.4.12,GO:0003677; GO:0004003; GO:0005524; GO:0005694; GO:0005737; GO:0006260; GO:0006281; GO:0006310; GO:0006974; GO:0008094; GO:0008270; GO:0009378; GO:0009432; GO:0016887; GO:0017116; GO:0017117; GO:0030894; GO:0032508; GO:0043140; GO:0043590; GO:0046914,ecj:JW5855;eco:b3822;,948318;,NA,ENOG4105C9U;COG0514;,K03654;,NA,EcoCyc:EG10833-MONOMER;ECOL316407:JW5855-MONOMER;MetaCyc:EG10833-MONOMER;,3.6.4.12;,NA,GO:0003676;GO:0005524
aten_0.1.m1.14389.m1,aten_0.1.m1.14389,6.29E-102,ZNRF3_MOUSE,blastp,K16273,YES,PF13639.5;PF17123.4;PF13923.5;PF12678.6;PF00097.24;PF14447.5;PF13445.5;PF14634.5;PF13920.5;PF01733.17;PF14446.5;PF12861.6;PF11793.7;PF17122.4;PF17120.4;PF13771.5;PF12906.6;PF14570.5;PF13832.5;PF13965.5;PF02932.15;PF16118.4;PF00628.28,Q5SSZ7,reviewed,E3 ubiquitin-protein ligase ZNRF3 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ZNRF3) (Zinc/RING finger protein 3),Znrf3,Mus musculus (Mouse),913,10090,2.3.2.27,GO:0004842; GO:0005109; GO:0005887; GO:0006511; GO:0016055; GO:0016567; GO:0030178; GO:0038018; GO:0046872; GO:0060173; GO:0060828; GO:0061630; GO:0072089; GO:0090090; GO:2000051; GO:2000095,mmu:407821;,407821;,ENSMUST00000109867 [Q5SSZ7-1];ENSMUST00000172492 [Q5SSZ7-2];,KOG0800;ENOG41121N2;,K16273;,1487241at2759;,NA,NA,R-MMU-4641263;,
aten_0.1.m1.19016.m1,aten_0.1.m1.19016,6.10E-92,ACHA2_RAT,blastp,K04814,YES,PF02931.22;PF02932.15,P12389,reviewed,Neuronal acetylcholine receptor subunit alpha-2,Chrna2 Acra2,Rattus norvegicus (Rat),511,10116,NA,GO:0005887; GO:0005892; GO:0007165; GO:0007268; GO:0008144; GO:0015464; GO:0016020; GO:0022848; GO:0030054; GO:0034220; GO:0042166; GO:0042391; GO:0043005; GO:0045202; GO:0045211; GO:0050877; GO:0051291,rno:170945;,170945;,ENSRNOT00000023475;,KOG3645;ENOG410XQGR;,K04804;,381858at2759;,NA,NA,R-RNO-629594;R-RNO-629597;,GO:0006811;GO:0016021;GO:0005216;GO:0022848;GO:0045211;GO:0004888;GO:0034220;GO:0005230
aten_0.1.m1.36046.m1,aten_0.1.m1.36046,6.23E-10,GRHL1_MOUSE,blastp,NA,NA,NA,Q921D9,reviewed,Grainyhead-like protein 1 homolog (Transcription factor CP2-like 2) (Transcription factor LBP-32),Grhl1 Mgr Tcfcp2l2,Mus musculus (Mouse),618,10090,NA,GO:0000978; GO:0001228; GO:0002934; GO:0003700; GO:0005634; GO:0005654; GO:0005794; GO:0005829; GO:0006355; GO:0006357; GO:0008544; GO:0031490; GO:0042803; GO:0043231; GO:0043565; GO:0044212; GO:0045616; GO:0045944; GO:0061436,mmu:195733;,195733;,ENSMUST00000085553 [Q921D9-1];,KOG4091;ENOG410XNZ6;,K09275;,286319at2759;,NA,NA,NA,GO:0003700;GO:0006357
aten_0.1.m1.815.m1,aten_0.1.m1.815,2.68E-105,LIPK_HUMAN,blastp,NA,YES,PF04083.15;PF00561.19;PF12146.7;PF12697.6;PF00756.19;PF12695.6,Q5VXJ0,reviewed,Lipase member K (EC 3.1.1.-) (Lipase-like abhydrolase domain-containing protein 2),LIPK LIPL2,Homo sapiens (Human),399,9606,3.1.1.-,GO:0005576; GO:0016042; GO:0016298; GO:0043231; GO:0044255; GO:0070268,hsa:643414;,643414;,ENST00000404190;,KOG2624;COG0596;,NA,651396at2759;,NA,NA,R-HSA-6809371;,GO:0006629;GO:0016788
aten_0.1.m1.4862.m1,aten_0.1.m1.4862,1.36E-17,FAT4_MOUSE,blastp,NA,NA,PF07534.15;PF07645.14;PF12947.6;PF00008.26;PF12662.6;PF12661.6;PF12946.6;PF14670.5,Q2PZL6,reviewed,Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J),Fat4 Fatj,Mus musculus (Mouse),4981,10090,NA,GO:0001658; GO:0001736; GO:0001822; GO:0003007; GO:0005509; GO:0005886; GO:0007009; GO:0007156; GO:0007157; GO:0007219; GO:0008543; GO:0016021; GO:0021987; GO:0022008; GO:0035329; GO:0043931; GO:0045177; GO:0048565; GO:0060122; GO:0072006; GO:0072137; GO:0072307,mmu:329628;,329628;,ENSMUST00000061260 [Q2PZL6-1];,KOG3594;ENOG410XPEI;,K16669;,34489at2759;,NA,NA,NA,GO:0005509
aten_0.1.m1.1797.m1,aten_0.1.m1.1797,9.08E-23,NOT2_XENLA,blastp,NA,NA,PF00046.28;PF05920.10;PF10376.8,Q91770,reviewed,Homeobox protein not2 (Xnot-2) (Xnot2),not2,Xenopus laevis (African clawed frog),233,8355,NA,GO:0005634; GO:0014028; GO:0043565; GO:0045892,xla:397703;,397703;,NA,NA,NA,1444296at2759;,NA,NA,NA,GO:0003677;GO:0006355;GO:0043565
aten_0.1.m1.18396.m1,aten_0.1.m1.18396,1.21E-19,LIN41_MOUSE,blastp,NA,NA,PF01436.20;PF00630.18;PF17170.3;PF08450.11;PF06977.10;PF09134.9,Q1PSW8,reviewed,E3 ubiquitin-protein ligase TRIM71 (EC 2.3.2.27) (Protein lin-41 homolog) (mLin41) (RING-type E3 ubiquitin transferase TRIM71) (Tripartite motif-containing protein 71),Trim71 Gm1127 Lin41,Mus musculus (Mouse),855,10090,2.3.2.27,GO:0000082; GO:0000209; GO:0000932; GO:0001843; GO:0004842; GO:0008270; GO:0008543; GO:0010586; GO:0010608; GO:0017148; GO:0021915; GO:0030371; GO:0035196; GO:0035198; GO:0035278; GO:0043161; GO:0051246; GO:0051865; GO:0060964; GO:0061158; GO:0061630; GO:0071310; GO:0072089; GO:2000177; GO:2000637,mmu:636931;,636931;,ENSMUST00000111816;,ENOG410ITG8;ENOG410XSQC;,K12035;,489543at2759;,NA,NA,R-MMU-983168;,
aten_0.1.m1.5741.m1,aten_0.1.m1.5741,1.11E-22,FBX4_HUMAN,blastp,K10291,NA,PF12937.6;PF00646.32,Q9UKT5,reviewed,F-box only protein 4,FBXO4 FBX4,Homo sapiens (Human),387,9606,NA,GO:0000151; GO:0000209; GO:0000723; GO:0004842; GO:0005737; GO:0005829; GO:0006511; GO:0007568; GO:0010608; GO:0016567; GO:0019005; GO:0019725; GO:0031146; GO:0031398; GO:0031647; GO:0031648; GO:0032212; GO:0035726; GO:0042803; GO:0043687; GO:0048147; GO:0061630; GO:0071479; GO:1900181; GO:1902916; GO:2000001,hsa:26272;,26272;,ENST00000281623 [Q9UKT5-1];ENST00000296812 [Q9UKT5-2];,ENOG410IE1X;ENOG410ZQ31;,K10291;,680454at2759;,NA,NA,R-HSA-390471;R-HSA-8951664;R-HSA-983168;,GO:0005515;GO:0031146
aten_0.1.m1.13312.m1,aten_0.1.m1.13312,8.90E-53,CPSF7_RAT,blastp,K14398,NA,PF00076.21;PF06147.10;PF07420.10,Q5XI29,reviewed,Cleavage and polyadenylation specificity factor subunit 7,Cpsf7,Rattus norvegicus (Rat),462,10116,NA,GO:0003723; GO:0005634; GO:0005737; GO:0005847; GO:0005849; GO:0051290; GO:0098789; GO:0110104; GO:1990120,rno:365407;,365407;,ENSRNOT00000028074;,KOG4849;ENOG4111NBM;,K14398;,1016696at2759;,NA,NA,R-RNO-72163;R-RNO-72187;R-RNO-73856;R-RNO-77595;,GO:0003676
aten_0.1.m1.9188.m1,aten_0.1.m1.9188,1.44E-23,GP2_CANLF,blastp,NA,NA,PF00100.22;PF14105.5;PF13785.5,P25291,reviewed,Pancreatic secretory granule membrane major glycoprotein GP2 (Pancreatic zymogen granule membrane protein GP-2),GP2,Canis lupus familiaris (Dog) (Canis familiaris),509,9615,NA,GO:0005576; GO:0005886; GO:0031225,NA,NA,NA,ENOG410IVSV;ENOG410YDU6;,NA,NA,NA,NA,NA,
aten_0.1.m1.21163.m1,aten_0.1.m1.21163,5.72E-06,HRP1_SCHPO,blastp,NA,NA,PF00249.30;PF09111.9,Q9US25,reviewed,Chromodomain helicase hrp1 (EC 3.6.4.-) (ATP-dependent helicase hrp1),hrp1 SPAC1783.05,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),1373,284812,3.6.4.-,GO:0000780; GO:0000790; GO:0003677; GO:0005524; GO:0005634; GO:0006357; GO:0006369; GO:0017116; GO:0030466; GO:0030702; GO:0035067; GO:0036121; GO:0043044; GO:0045944; GO:0048096; GO:0060303,spo:SPAC1783.05;,2542363;,NA,NA,K11367;,NA,NA,NA,NA,GO:0003677
aten_0.1.m1.12314.m1,aten_0.1.m1.12314,1.29E-25,MGST1_MOUSE,blastp,K00799,NA,PF01124.17,Q91VS7,reviewed,Microsomal glutathione S-transferase 1 (Microsomal GST-1) (EC 2.5.1.18) (Microsomal GST-I),Mgst1,Mus musculus (Mouse),155,10090,2.5.1.18,GO:0004364; GO:0004602; GO:0005634; GO:0005739; GO:0005741; GO:0005743; GO:0005778; GO:0005783; GO:0005789; GO:0006749; GO:0010243; GO:0016021; GO:0032496; GO:0042493; GO:0042802; GO:0042803; GO:0043295; GO:0045177; GO:0055114; GO:0070207; GO:0071449,mmu:56615;,56615;,ENSMUST00000008684;ENSMUST00000120230;ENSMUST00000120302;,ENOG410IXE1;ENOG4111VJG;,K00799;,1591261at2759;,NA,NA,R-MMU-156590;R-MMU-6798695;,
aten_0.1.m1.20210.m1,aten_0.1.m1.20210,2.33E-14,RNMT_MYCTU,blastp,NA,NA,PF04989.11;PF01728.18,P9WIM5,reviewed,Rhamnosyl O-methyltransferase (EC 2.1.1.-),Rv2959c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),245,83332,2.1.1.-,GO:0005886; GO:0008168; GO:0008610; GO:0030206; GO:0071770,mtu:Rv2959c;mtv:RVBD_2959c;,887862;,NA,ENOG4106IE6;COG3510;,NA,NA,MetaCyc:G185E-7213-MONOMER;MTBH37RV:G185E-7213-MONOMER;,NA,NA,GO:0008168;GO:0008610
aten_0.1.m1.13450.m1,aten_0.1.m1.13450,1.31E-57,MLRP1_ACRMI,blastp,NA,NA,PF00629.22,B3EWZ5,reviewed,MAM and LDL-receptor class A domain-containing protein 1 (Skeletal organic matrix MAM and LDL-receptor 1) (SOM MAM and LDL-receptor 1) (Fragment),NA,Acropora millepora (Staghorn coral) (Heteropora millepora),5145,45264,NA,GO:0005576; GO:0016020,NA,NA,NA,NA,NA,NA,NA,NA,NA,GO:0016020
aten_0.1.m1.21696.m1,aten_0.1.m1.21696,5.20E-67,KTHY_HUMAN,blastp,K00943,NA,PF02223.16;PF08433.9;PF13173.5;PF07889.11;PF09868.8;PF16575.4,P23919,reviewed,Thymidylate kinase (EC 2.7.4.9) (dTMP kinase),DTYMK CDC8 TMPK TYMK,Homo sapiens (Human),212,9606,2.7.4.9,GO:0004550; GO:0004798; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005758; GO:0005759; GO:0005829; GO:0006227; GO:0006233; GO:0006235; GO:0008283; GO:0009041; GO:0015949; GO:0043627; GO:0045445; GO:0046686; GO:0071363,hsa:1841;,1841;,ENST00000305784 [P23919-1];,KOG3327;COG0125;,K00943;,1259751at2759;,MetaCyc:HS11626-MONOMER;,2.7.4.9;,R-HSA-499943;,GO:0004798;GO:0005524;GO:0006233
aten_0.1.m1.36473.m1,aten_0.1.m1.36473,1.38E-108,TTC28_HUMAN,blastp,NA,NA,PF13424.5;PF13176.5;PF00515.27;PF13181.5;PF12770.6;PF13374.5;PF07719.16;PF13174.5;PF13428.5;PF10579.8;PF13431.5;PF13432.5;PF14938.5;PF13429.5;PF11192.7;PF13371.5;PF14559.5;PF07721.13;PF00581.19;PF12895.6;PF10516.8;PF02050.15;PF01024.18;PF01535.19;PF13414.5;PF14853.5;PF07720.11,Q96AY4,reviewed,Tetratricopeptide repeat protein 28 (TPR repeat protein 28) (TPR repeat-containing big gene cloned at Keio),TTC28 KIAA1043 TPRBK,Homo sapiens (Human),2481,9606,NA,GO:0000922; GO:0005737; GO:0005815; GO:0007049; GO:0007346; GO:0019900; GO:0030496; GO:0051301; GO:0072686,hsa:23331;,23331;,ENST00000397906;,KOG0548;KOG1130;COG0457;COG4995;ENOG410XP6N;,NA,733786at2759;,NA,NA,NA,GO:0005515
aten_0.1.m1.31851.m1,aten_0.1.m1.31851,4.60E-33,HRH2_PONPY,blastp,K04145,NA,PF00001.20;PF10320.8;PF13853.5;PF10328.8;PF03383.14;PF11188.7,P61752,reviewed,Histamine H2 receptor (H2R) (HH2R) (Gastric receptor I),HRH2,Pongo pygmaeus (Bornean orangutan),359,9600,NA,GO:0001696; GO:0004969; GO:0005886; GO:0016021; GO:0045907,NA,NA,NA,NA,NA,NA,NA,NA,NA,GO:0016021;GO:0004930;GO:0007186
aten_0.1.m1.14049.m1,aten_0.1.m1.14049,2.05E-37,DLISH_DROME,blastp,NA,NA,PF14604.5;PF00018.27;PF07653.16;PF08239.10;PF14603.5;PF06347.12,A1ZAY1,reviewed,SH3 domain-containing protein Dlish (Dachs ligand with SH3 domains),Dlish CG10933,Drosophila melanogaster (Fruit fly),355,7227,NA,GO:0001736; GO:0005737; GO:0016327; GO:0035331; GO:0045179; GO:0045296; GO:0090163; GO:0090251,dme:Dmel_CG10933;,37014;,NA,ENOG410IIV7;ENOG410XSY1;,NA,1518001at2759;,NA,NA,NA,GO:0005515
